 sim.turn     t(hours)        L(cm^-2 s^-1)  reduction factor (hourglass,crossing angle) 
     11900    0.5878748E+01    0.3855509E+27    0.9760599E+00
     12000    0.5928149E+01    0.3833255E+27    0.9760661E+00
     12100    0.5977551E+01    0.3812577E+27    0.9760725E+00
     12200    0.6026951E+01    0.3789764E+27    0.9761075E+00
     12300    0.6076353E+01    0.3765178E+27    0.9760462E+00
     12400    0.6125754E+01    0.3740432E+27    0.9761377E+00
     12500    0.6175155E+01    0.3720299E+27    0.9761624E+00
     12600    0.6224556E+01    0.3697115E+27    0.9760749E+00
     12700    0.6273957E+01    0.3675615E+27    0.9761488E+00
     12800    0.6323359E+01    0.3654943E+27    0.9761742E+00
     12900    0.6372760E+01    0.3633893E+27    0.9761385E+00
     13000    0.6422161E+01    0.3613007E+27    0.9761794E+00
     13100    0.6471562E+01    0.3588810E+27    0.9761726E+00
     13200    0.6520964E+01    0.3567444E+27    0.9762900E+00
     13300    0.6570365E+01    0.3545327E+27    0.9762208E+00
     13400    0.6619766E+01    0.3525540E+27    0.9761888E+00
     13500    0.6669168E+01    0.3504130E+27    0.9762941E+00
     13600    0.6718569E+01    0.3482154E+27    0.9762252E+00
     13700    0.6767970E+01    0.3460028E+27    0.9762703E+00
     13800    0.6817371E+01    0.3441911E+27    0.9762895E+00
     13900    0.6866772E+01    0.3421931E+27    0.9762657E+00
     14000    0.6916173E+01    0.3402296E+27    0.9763727E+00
     14100    0.6965575E+01    0.3381627E+27    0.9763169E+00
     14200    0.7014976E+01    0.3360753E+27    0.9763402E+00
     14300    0.7064377E+01    0.3340767E+27    0.9764095E+00
     14400    0.7113779E+01    0.3319734E+27    0.9763327E+00
     14500    0.7163180E+01    0.3301852E+27    0.9764422E+00
     14600    0.7212581E+01    0.3285969E+27    0.9763941E+00
     14700    0.7261982E+01    0.3269592E+27    0.9764138E+00
     14800    0.7311384E+01    0.3251355E+27    0.9764996E+00
     14900    0.7360785E+01    0.3230302E+27    0.9764110E+00
     15000    0.7410186E+01    0.3212743E+27    0.9764302E+00
     15100    0.7459587E+01    0.3195266E+27    0.9765159E+00
     15200    0.7508988E+01    0.3176761E+27    0.9764681E+00
     15300    0.7558390E+01    0.3157876E+27    0.9764395E+00
     15400    0.7607791E+01    0.3141052E+27    0.9765323E+00
     15500    0.7657192E+01    0.3121564E+27    0.9765846E+00
     15600    0.7706593E+01    0.3104071E+27    0.9765397E+00
     15700    0.7755995E+01    0.3086944E+27    0.9765431E+00
     15800    0.7805396E+01    0.3072530E+27    0.9766104E+00
     15900    0.7854797E+01    0.3057332E+27    0.9766105E+00
     16000    0.7904199E+01    0.3038891E+27    0.9766394E+00
     16100    0.7953600E+01    0.3025196E+27    0.9766175E+00
     16200    0.8003001E+01    0.3008072E+27    0.9765891E+00
     16300    0.8052402E+01    0.2991149E+27    0.9766245E+00
     16400    0.8101804E+01    0.2974964E+27    0.9766386E+00
     16500    0.8151204E+01    0.2960184E+27    0.9766266E+00
     16600    0.8200605E+01    0.2945177E+27    0.9766201E+00
     16700    0.8250007E+01    0.2932108E+27    0.9767075E+00
     16800    0.8299408E+01    0.2915128E+27    0.9767244E+00
     16900    0.8348810E+01    0.2896364E+27    0.9766343E+00
     17000    0.8398211E+01    0.2883084E+27    0.9767085E+00
     17100    0.8447613E+01    0.2867550E+27    0.9767855E+00
     17200    0.8497013E+01    0.2850286E+27    0.9766000E+00
     17300    0.8546414E+01    0.2835500E+27    0.9767568E+00
     17400    0.8595816E+01    0.2820494E+27    0.9768600E+00
     17500    0.8645217E+01    0.2804148E+27    0.9765902E+00
     17600    0.8694618E+01    0.2790173E+27    0.9768025E+00
     17700    0.8744020E+01    0.2775216E+27    0.9768674E+00
     17800    0.8793421E+01    0.2760351E+27    0.9765739E+00
     17900    0.8842822E+01    0.2748532E+27    0.9768299E+00
     18000    0.8892223E+01    0.2734481E+27    0.9768484E+00
     18100    0.8941625E+01    0.2721892E+27    0.9766614E+00
     18200    0.8991026E+01    0.2707036E+27    0.9768439E+00
     18300    0.9040427E+01    0.2692459E+27    0.9768474E+00
     18400    0.9089828E+01    0.2678577E+27    0.9767440E+00
     18500    0.9139230E+01    0.2664949E+27    0.9768752E+00
     18600    0.9188631E+01    0.2651477E+27    0.9768632E+00
     18700    0.9238032E+01    0.2635872E+27    0.9767625E+00
     18800    0.9287434E+01    0.2625599E+27    0.9769279E+00
     18900    0.9336834E+01    0.2615379E+27    0.9769070E+00
     19000    0.9386235E+01    0.2602866E+27    0.9768249E+00
     19100    0.9435637E+01    0.2590728E+27    0.9768780E+00
     19200    0.9485038E+01    0.2577710E+27    0.9769333E+00
     19300    0.9534439E+01    0.2563227E+27    0.9769246E+00
     19400    0.9583841E+01    0.2550085E+27    0.9768729E+00
     19500    0.9633242E+01    0.2540584E+27    0.9769964E+00
     19600    0.9682643E+01    0.2528464E+27    0.9769617E+00
     19700    0.9732044E+01    0.2514201E+27    0.9768925E+00
     19800    0.9781446E+01    0.2501175E+27    0.9770358E+00
     19900    0.9830847E+01    0.2488197E+27    0.9769090E+00
     20000    0.9880248E+01    0.2477672E+27    0.9769873E+00
